adjudication_order,priority,machine_task,action_type,product_slug,product_label,product_standard_scope,product_review_state,metal_species,source_ids,aggregate_hmtc_p90_status,required_decisions,input_artifacts,guardrails,expected_outputs,confidence_gate,human_exception_trigger,blocks_public_claims,blocks_hmtc_threshold,next_command,notes
1,P1,discover_or_route_species_specific_source,resolve-species-specific-gap,fish-containing-baby-foods,Fish-containing baby foods,locked_hmtc_row,published,MeHg,,BLOCKED: species-specific evidence missing,"exact analyte species; product row fit; basis; source provenance; routeability; whether related total-species rows must remain separate","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI. Related total-species rows are context only and cannot substitute for species-specific evidence.","species-specific structured rows, a source-discovery gap, or a documented not-routeable disposition",Close the species gap only when the source reports the exact requested species and routeable product/basis with >=0.90 confidence.,"no accessible source after search; species conflict; threshold candidate ready for governance approval",true,true,npm run evidence:show-results -- --product fish-containing-baby-foods,"Load MeHg rows for this product; related total-species rows cannot substitute. Find or route MeHg evidence for this exact product row; related total-species rows cannot substitute. Total/speciated analytes are intentionally separated before HMTc standards math."
2,P1,discover_or_route_species_specific_source,resolve-species-specific-gap,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,MeHg,,BLOCKED: species-specific evidence missing,"exact analyte species; product row fit; basis; source provenance; routeability; whether related total-species rows must remain separate","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI. Related total-species rows are context only and cannot substitute for species-specific evidence.","species-specific structured rows, a source-discovery gap, or a documented not-routeable disposition",Close the species gap only when the source reports the exact requested species and routeable product/basis with >=0.90 confidence.,"no accessible source after search; species conflict; threshold candidate ready for governance approval",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Load MeHg rows for this product; related total-species rows cannot substitute. Find or route MeHg evidence for this exact product row; related total-species rows cannot substitute. Total/speciated analytes are intentionally separated before HMTc standards math."
3,P1,discover_or_route_species_specific_source,resolve-species-specific-gap,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,iAs,,BLOCKED: species-specific evidence missing,"exact analyte species; product row fit; basis; source provenance; routeability; whether related total-species rows must remain separate","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not substitute total arsenic for inorganic arsenic, total mercury for methylmercury, or total chromium for Cr-VI. Related total-species rows are context only and cannot substitute for species-specific evidence.","species-specific structured rows, a source-discovery gap, or a documented not-routeable disposition",Close the species gap only when the source reports the exact requested species and routeable product/basis with >=0.90 confidence.,"no accessible source after search; species conflict; threshold candidate ready for governance approval",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Load iAs rows for this product; related total-species rows cannot substitute. Find or route iAs evidence for this exact product row; related total-species rows cannot substitute. Total/speciated analytes are intentionally separated before HMTc standards math."
4,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,coffee,Coffee,locked_hmtc_row,draft,"Pb; Cd; tAs",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product coffee,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
5,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,fermented-beverages-non-tea-based,"Fermented beverages, non-tea-based",locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product fermented-beverages-non-tea-based,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
6,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,flavored-waters,Flavored waters,locked_hmtc_row,draft,Pb,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product flavored-waters,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
7,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,herbal-botanical-infusions,Herbal/botanical infusions,locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product herbal-botanical-infusions,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
8,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,Cr-VI,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
9,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,Ni,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
10,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,kombucha-tea-based,Kombucha (tea-based),locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product kombucha-tea-based,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
11,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,matcha,Matcha,locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product matcha,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
12,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,"Cd; iAs; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
13,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,Cd,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product plant-milks-rice-based,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
14,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,soft-drinks-carbonated-beverages,Soft drinks/carbonated beverages,locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product soft-drinks-carbonated-beverages,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
15,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,sports-energy-drinks,Sports/energy drinks,locked_hmtc_row,draft,"Pb; Cd; tAs",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product sports-energy-drinks,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
16,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,teething-and-snacks-non-rice,Teething & snacks (non-rice),locked_hmtc_row,published,iAs,,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product teething-and-snacks-non-rice,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
17,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,true-tea-camellia-sinensis,True tea (Camellia sinensis),locked_hmtc_row,draft,"Pb; Cd; Al",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product true-tea-camellia-sinensis,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
18,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,vegetable-juices-non-root,"Vegetable juices, non-root",locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product vegetable-juices-non-root,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
19,P2,find_or_route_fit_product_evidence,find-or-route-fit-source-evidence,vegetable-juices-root-vegetable-containing,"Vegetable juices, root-vegetable-containing",locked_hmtc_row,draft,"Pb; Cd",,BLOCKED: no structured evidence loaded,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Create or update the source page and routing record before public synthesis. Missing data must remain visible as a gap. Missing data must remain visible as a gap rather than disappearing from the queue.","new routeable source evidence, a product/metal gap, or an explicit reason existing sources are not fit evidence","Route only if product scope, species, basis, and statistic type are explicit enough for reproducible adjudication.","no accessible source; product definition conflict; governance decision needed for row inclusion",true,true,npm run evidence:show-results -- --product vegetable-juices-root-vegetable-containing,"Add or route fit-source product evidence before any HMTc p90 decision. Search local/raw evidence first, then source discovery, and route fit-source values to this product/metal row."
