adjudication_order,priority,machine_task,action_type,product_slug,product_label,product_standard_scope,product_review_state,metal_species,source_ids,aggregate_hmtc_p90_status,required_decisions,input_artifacts,guardrails,expected_outputs,confidence_gate,human_exception_trigger,blocks_public_claims,blocks_hmtc_threshold,next_command,notes
38,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,baby-cereals-dry-non-rice,"Baby cereals / grain products, dry (non-rice)",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product baby-cereals-dry-non-rice,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
39,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,baby-cereals-dry-rice-based,"Baby cereals / grain products, dry (rice-based)",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product baby-cereals-dry-rice-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
40,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fish-containing-baby-foods,Fish-containing baby foods,locked_hmtc_row,published,"Pb; Cd; tAs; tHg; Al; Ni; Sn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fish-containing-baby-foods,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
41,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,"Al; Sn; Co; Cr-total; Sb; V",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fruit-juice-not-canned,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
42,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fruit-purees,Fruit purees (general),locked_hmtc_row,published,"iAs; Al; Ni; Sn; Co; Cr-total; Cu; Fe; I; Mn; Sb; Se; V; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fruit-purees,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
43,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,"iAs; Al; Ni; Sn; Ca; Cr-total; Cu; Fe; I; Mn; Se; U; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
44,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,"iAs; Al; Ni; Ca; Cu; Fe; I; Mn; Se; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-powder-soy-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
45,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,"Al; Cu; Fe; I; Mn; Se; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
46,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,Al,,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
47,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,meat-and-poultry-purees,Meat and poultry purees,locked_hmtc_row,published,"Pb; Cd; tAs; tHg; Al; Ni; Sn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product meat-and-poultry-purees,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
48,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,mixed-meals-non-rice,"Mixed meals, non-rice",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product mixed-meals-non-rice,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
49,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,mixed-meals-rice-containing,"Mixed meals, rice-containing",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product mixed-meals-rice-containing,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
50,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,plant-milks-non-soy-non-rice,"Plant milks (almond, oat, coconut, other non-soy/non-rice)",locked_hmtc_row,,"Pb; tHg; U",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product plant-milks-non-soy-non-rice,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
51,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,plant-milks-rice-based,"Plant milks, rice-based",locked_hmtc_row,,"iAs; tAs",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product plant-milks-rice-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
52,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,plant-milks-soy-based,"Plant milks, soy-based",locked_hmtc_row,,"Pb; Cd; tAs; Al; Ni; Sn; Cr-total; Sb",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product plant-milks-soy-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
53,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,teething-and-snacks-rice-based,Teething & snacks (rice-based),locked_hmtc_row,published,iAs,,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product teething-and-snacks-rice-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
54,P3,adjudicate_evidence_fitness,review-evidence-fitness,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,Sb,,BLOCKED: evidence fitness review needed,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Keep pending-tier and machine-extracted evidence out of public claims until reviewed. Pending-tier and machine-extracted evidence stay out of public claims until promoted.","Evidence Fitness verdict with traceable caveats, or demotion to candidate/context-only status","Promote only if row fit, basis, species, unit, statistic type, and censoring are explicitly documented.","borderline EF verdict; high-impact product row; source contradiction",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Review loaded rows and pending sources before HMTc p90 math. Review row fit, basis, censoring, and Evidence Fitness before any standards calculation. Loaded source count: 1."
55,P3,adjudicate_evidence_fitness,review-evidence-fitness,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,"Sn; Cr-total; Sb",,BLOCKED: evidence fitness review needed,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Keep pending-tier and machine-extracted evidence out of public claims until reviewed. Pending-tier and machine-extracted evidence stay out of public claims until promoted.","Evidence Fitness verdict with traceable caveats, or demotion to candidate/context-only status","Promote only if row fit, basis, species, unit, statistic type, and censoring are explicitly documented.","borderline EF verdict; high-impact product row; source contradiction",true,true,npm run evidence:show-results -- --product infant-formula-powder-soy-based,"Review loaded rows and pending sources before HMTc p90 math. Review row fit, basis, censoring, and Evidence Fitness before any standards calculation. Loaded source count: 1."
56,P3,adjudicate_evidence_fitness,review-evidence-fitness,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,"iAs; Ni; Sn; Cr-total; Sb",,BLOCKED: evidence fitness review needed,"product row fit; basis; analyte species; unit; statistic type; N; censoring/non-detect handling; Evidence Fitness; routeability; public-use boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Keep pending-tier and machine-extracted evidence out of public claims until reviewed. Pending-tier and machine-extracted evidence stay out of public claims until promoted.","Evidence Fitness verdict with traceable caveats, or demotion to candidate/context-only status","Promote only if row fit, basis, species, unit, statistic type, and censoring are explicitly documented.","borderline EF verdict; high-impact product row; source contradiction",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"Review loaded rows and pending sources before HMTc p90 math. Review row fit, basis, censoring, and Evidence Fitness before any standards calculation. Loaded source count: 1."
57,P3,run_aggregate_math_readiness_check,run-aggregate-math-review,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,iAs,,READY FOR AGGREGATE MATH REVIEW,"basis harmonization; censoring method; source independence; product comparability; regulatory ceiling; confidence interval; governance boundary","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Readiness is not a final value; standards decisions still require review and approval. Readiness is not a final public HMTc value.","standards-decision draft, math-blocker record, or governance-approval packet","A machine math packet can be prepared when inputs are traceable, but final HMTc threshold approval is a governance decision.","any proposed HMTc threshold, regulatory conflict, brand impact, or confidence below governance target",true,true,npm run evidence:show-results -- --product fruit-juice-not-canned,"Review row fit, basis harmonization, censoring, and source weights before publishing an HMTc p90. Review basis harmonization, censoring, row fit, and source weights before standards publication. This is a readiness flag, not a final standards value."
