source_id,source_page,row_id,row_slug,hmtc_row,row_label,fda_category_scope,source_analyte,metal_species,basis,n,detected_n,lod_n,substitution_rule,fiscal_year_min,fiscal_year_max,p10_ppb,p50_ppb,p90_ppb,p95_ppb,p100_ppb,unit,statistic_scope,evidence_fitness_verdict,review_state,row_fit,category1_related_rows,notes
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Cd,Cd,as_sold,25,24,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,4.6,15,27.4,33.3,62.9,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Pb,Pb,as_sold,25,21,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,0,4,8,8.8,9.9,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,As,tAs,as_sold,25,21,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,0,12.9,37.8,40.4,54.8,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Hg,tHg,as_sold,9,0,9,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2021,2024,0,0,0,0,0,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-3,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Cd,Cd,as_sold,252,212,40,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,0,10.1,22,26.8,40.5,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Pb,Pb,as_sold,256,196,60,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2024,0,5,19.2,21,32,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,As,tAs,as_sold,253,252,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,79.7,115,135,141,348,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Hg,tHg,as_sold,64,22,42,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,0,0,2.1,2.5,4,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,Cd,Cd,as_sold,39,17,22,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,2.2,2.4,4,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,Pb,Pb,as_sold,44,26,18,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,1,2.4,4.5,8,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,As,tAs,as_sold,39,25,14,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,1.4,5.2,7,8.7,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,Hg,tHg,as_sold,14,4,10,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,0.5,0.6,0.6,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r08,non-root-vegetable-purees,8,Non-root vegetable purees,Vegetables,Cd,Cd,as_sold,22,14,8,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0.7,12.8,21.1,23.1,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Non-root vegetable purees,EF-2,machine_extracted,name_split_category1_row,non-root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r08,non-root-vegetable-purees,8,Non-root vegetable purees,Vegetables,Pb,Pb,as_sold,29,13,16,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,2,2,7.6,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Non-root vegetable purees,EF-2,machine_extracted,name_split_category1_row,non-root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r08,non-root-vegetable-purees,8,Non-root vegetable purees,Vegetables,As,tAs,as_sold,20,6,14,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,1,2.1,11,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Non-root vegetable purees,EF-2,machine_extracted,name_split_category1_row,non-root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r08,non-root-vegetable-purees,8,Non-root vegetable purees,Vegetables,Hg,tHg,as_sold,13,1,12,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,0,0.4,0.4,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Non-root vegetable purees,EF-2,machine_extracted,name_split_category1_row,non-root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r09,root-vegetable-purees,9,Root-vegetable purees,Vegetables,Cd,Cd,as_sold,54,50,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2013,2024,1,8.7,31.5,39.6,42,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Root-vegetable purees,EF-2,machine_extracted,name_split_category1_row,root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r09,root-vegetable-purees,9,Root-vegetable purees,Vegetables,Pb,Pb,as_sold,59,55,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2012,2024,1,5.1,15.9,22.2,27.3,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Root-vegetable purees,EF-2,machine_extracted,name_split_category1_row,root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r09,root-vegetable-purees,9,Root-vegetable purees,Vegetables,As,tAs,as_sold,54,33,21,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2013,2024,0,1.4,6.4,8.5,10.3,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Root-vegetable purees,EF-2,machine_extracted,name_split_category1_row,root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r09,root-vegetable-purees,9,Root-vegetable purees,Vegetables,Hg,tHg,as_sold,25,3,22,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2018,2024,0,0,0.3,0.4,1.1,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Root-vegetable purees,EF-2,machine_extracted,name_split_category1_row,root-vegetable-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r12,mixed-meals-non-rice,12,"Mixed meals, non-rice",Mixtures,Cd,Cd,as_sold,77,66,11,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2011,2024,0,2.2,5.2,12.4,44.4,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, non-rice",EF-2,machine_extracted,name_split_category1_row,mixed-meals-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r12,mixed-meals-non-rice,12,"Mixed meals, non-rice",Mixtures,Pb,Pb,as_sold,78,59,19,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2011,2024,0,1.6,6.8,10,13,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, non-rice",EF-2,machine_extracted,name_split_category1_row,mixed-meals-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r12,mixed-meals-non-rice,12,"Mixed meals, non-rice",Mixtures,As,tAs,as_sold,77,63,14,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2011,2024,0,3,5.6,6.2,13.6,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, non-rice",EF-2,machine_extracted,name_split_category1_row,mixed-meals-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r12,mixed-meals-non-rice,12,"Mixed meals, non-rice",Mixtures,Hg,tHg,as_sold,36,2,34,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2011,2024,0,0,0,0.2,0.4,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, non-rice",EF-2,machine_extracted,name_split_category1_row,mixed-meals-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r13,mixed-meals-rice-containing,13,"Mixed meals, rice-containing",Mixtures,Cd,Cd,as_sold,9,5,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2023,0,1.3,7,7,7,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, rice-containing",EF-3,machine_extracted,name_split_category1_row,mixed-meals-rice-containing,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r13,mixed-meals-rice-containing,13,"Mixed meals, rice-containing",Mixtures,Pb,Pb,as_sold,9,5,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2023,0,1,11.6,11.6,11.6,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, rice-containing",EF-3,machine_extracted,name_split_category1_row,mixed-meals-rice-containing,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r13,mixed-meals-rice-containing,13,"Mixed meals, rice-containing",Mixtures,As,tAs,as_sold,9,7,2,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2023,0,11,28.3,28.3,28.3,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, rice-containing",EF-3,machine_extracted,name_split_category1_row,mixed-meals-rice-containing,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r13,mixed-meals-rice-containing,13,"Mixed meals, rice-containing",Mixtures,Hg,tHg,as_sold,3,1,2,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2018,2023,0,0,0.3,0.3,0.3,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Mixed meals, rice-containing",EF-3,machine_extracted,name_split_category1_row,mixed-meals-rice-containing,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r16,teething-and-snacks-rice-based,16,"Teething and snacks, rice-based",Grain-Based Snacks,Cd,Cd,as_sold,2,1,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2020,2021,0,0,3.5,3.5,3.5,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Teething and snacks, rice-based",EF-3,machine_extracted,explicit_rice_named_subset,teething-and-snacks-rice-based,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r16,teething-and-snacks-rice-based,16,"Teething and snacks, rice-based",Grain-Based Snacks,Pb,Pb,as_sold,2,1,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2020,2021,0,0,6.5,6.5,6.5,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Teething and snacks, rice-based",EF-3,machine_extracted,explicit_rice_named_subset,teething-and-snacks-rice-based,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r16,teething-and-snacks-rice-based,16,"Teething and snacks, rice-based",Grain-Based Snacks,As,tAs,as_sold,2,2,0,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2020,2021,96.3,96.3,171,171,171,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Teething and snacks, rice-based",EF-3,machine_extracted,explicit_rice_named_subset,teething-and-snacks-rice-based,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,grain-based-snacks-rice-status-unspecified,,"Grain-based snacks, rice status not isolated",Grain-Based Snacks,Cd,Cd,as_sold,91,85,6,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2016,2024,3,14,27,30.4,41,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Grain-based snacks, rice status not isolated",EF-4,machine_extracted,category_context_only,"teething-and-snacks-non-rice;teething-and-snacks-rice-based","FDA Grain-Based Snacks rows without rice named in the product description are not assumed to be non-rice; they remain broad snack context until ingredient/rice status is verified."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,grain-based-snacks-rice-status-unspecified,,"Grain-based snacks, rice status not isolated",Grain-Based Snacks,Pb,Pb,as_sold,91,75,16,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2016,2024,0,4.5,15,18,23.7,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Grain-based snacks, rice status not isolated",EF-4,machine_extracted,category_context_only,"teething-and-snacks-non-rice;teething-and-snacks-rice-based","FDA Grain-Based Snacks rows without rice named in the product description are not assumed to be non-rice; they remain broad snack context until ingredient/rice status is verified."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,grain-based-snacks-rice-status-unspecified,,"Grain-based snacks, rice status not isolated",Grain-Based Snacks,As,tAs,as_sold,91,86,5,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2016,2024,4.3,61,224,383,561,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Grain-based snacks, rice status not isolated",EF-4,machine_extracted,category_context_only,"teething-and-snacks-non-rice;teething-and-snacks-rice-based","FDA Grain-Based Snacks rows without rice named in the product description are not assumed to be non-rice; they remain broad snack context until ingredient/rice status is verified."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,grain-based-snacks-rice-status-unspecified,,"Grain-based snacks, rice status not isolated",Grain-Based Snacks,Hg,tHg,as_sold,28,13,15,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2018,2024,0,0,2.5,2.6,3.3,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Grain-based snacks, rice status not isolated",EF-4,machine_extracted,category_context_only,"teething-and-snacks-non-rice;teething-and-snacks-rice-based","FDA Grain-Based Snacks rows without rice named in the product description are not assumed to be non-rice; they remain broad snack context until ingredient/rice status is verified."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,yogurts-custards-puddings-out-of-scope,,"Yogurts, custards, and puddings, not in locked Category 1 row set",Yogurts/Custards/Puddings,Cd,Cd,as_sold,5,5,0,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2023,2023,0.8,1,1,1,1,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Yogurts, custards, and puddings, not in locked Category 1 row set",EF-4,machine_extracted,outside_locked_category1_rows,,"FDA reports this as a baby-food category, but the current locked HMTc Category 1 product-row list does not include a separate yogurt/custard/pudding row."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,yogurts-custards-puddings-out-of-scope,,"Yogurts, custards, and puddings, not in locked Category 1 row set",Yogurts/Custards/Puddings,Pb,Pb,as_sold,5,4,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2023,2023,0,1,2.6,2.6,2.6,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Yogurts, custards, and puddings, not in locked Category 1 row set",EF-4,machine_extracted,outside_locked_category1_rows,,"FDA reports this as a baby-food category, but the current locked HMTc Category 1 product-row list does not include a separate yogurt/custard/pudding row."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,yogurts-custards-puddings-out-of-scope,,"Yogurts, custards, and puddings, not in locked Category 1 row set",Yogurts/Custards/Puddings,As,tAs,as_sold,5,5,0,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2023,2023,2,2,2.9,2.9,2.9,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Yogurts, custards, and puddings, not in locked Category 1 row set",EF-4,machine_extracted,outside_locked_category1_rows,,"FDA reports this as a baby-food category, but the current locked HMTc Category 1 product-row list does not include a separate yogurt/custard/pudding row."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,,yogurts-custards-puddings-out-of-scope,,"Yogurts, custards, and puddings, not in locked Category 1 row set",Yogurts/Custards/Puddings,Hg,tHg,as_sold,3,0,3,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2023,2023,0,0,0,0,0,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Yogurts, custards, and puddings, not in locked Category 1 row set",EF-4,machine_extracted,outside_locked_category1_rows,,"FDA reports this as a baby-food category, but the current locked HMTc Category 1 product-row list does not include a separate yogurt/custard/pudding row."
