category_id,category_label,row_id,row_slug,row_label,metal_species,evidence_fitness_verdict,public_label,review_state,source_count,notes
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Pb,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Pb below detection in 13 Pakistani powdered infant formula brands, but soy status is not reported and the Pb detection-limit value is internally inconsistent between Methods and Table 4; use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Cd,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Cd below detection in 13 Pakistani powdered infant formula brands, but soy status is not reported and the Cd detection-limit value is internally inconsistent between Methods and Table 4; use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Ni,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Ni from <0.001 to 50.90 mg/kg in 13 Pakistani powdered infant formula brands on an as-sold powder basis; soy status and brand identities are not reported, so use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r01,infant-formula-powder-non-soy,"Infant Formula Powder, Non-Soy",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Pb,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Pb below detection in 13 Pakistani powdered infant formula brands, but soy status is not reported and the Pb detection-limit value is internally inconsistent between Methods and Table 4; use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Cd,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Cd below detection in 13 Pakistani powdered infant formula brands, but soy status is not reported and the Cd detection-limit value is internally inconsistent between Methods and Table 4; use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Ni,EF-4,Context only,approved_for_public,1,"Akhtar et al. 2017 reports Ni from <0.001 to 50.90 mg/kg in 13 Pakistani powdered infant formula brands on an as-sold powder basis; soy status and brand identities are not reported, so use as context only for this split row."
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r02,infant-formula-powder-soy-based,"Infant Formula Powder, Soy-Based",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r03,infant-formula-rtf-liquid-non-soy,"Infant Formula RTF/Liquid, Non-Soy",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r04,infant-formula-rtf-liquid-soy-based,"Infant Formula RTF/Liquid, Soy-Based",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r05,baby-cereals-dry-non-rice,"Baby Cereals, Dry, Non-Rice",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r06,baby-cereals-dry-rice-based,"Baby Cereals, Dry, Rice-Based",Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Al,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Sn,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Cr-total,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r07,fruit-purees,Fruit Purees,Cr-VI,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,Pb,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,Cd,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,iAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,tAs,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,tHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,MeHg,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
hmtc-category-1,Infant and Child Foods,hmtc_c1_r08,non-root-vegetable-purees,Non-Root Vegetable Purees,Ni,EF-5,Data gap,needs_source,0,Pilot cell initialized as a data gap until reviewed occurrence evidence is approved.
