product_slug,source_id,source_title,source_page,metal_species,disposition_status,evidence_use,row_fit,reason,quote_trace,notes,guardrails
baby-cereals-dry-non-rice,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_cereal_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some cereals medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
baby-cereals-dry-rice-based,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_rice_product_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some rice and rice mixes medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fish-containing-baby-foods,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Cd,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_fish_mix_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some fish and fish mixes medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fish-containing-baby-foods,tatsuta2024-methylmercury-intake-children-duplicate-diet,Dietary intake of methylmercury by 0-5 years children using the duplicate diet method in Japan,wiki/sources/tatsuta2024-methylmercury-intake-children-duplicate-diet.md,tHg,context_only_duplicate_diet_exposure,context_only_not_published,exposure_context_not_product_occurrence,"Tatsuta 2024 measured total diet composites and dietary intake by age stage, not concentration rows for a fish-containing baby-food product category.",The source describes 24-hour duplicate diet samples collected over three days and reports THg/MeHg diet-sample concentrations and intake estimates by dietary stage.,"Useful for methylmercury exposure context in young children who consume fish, but not for product occurrence or standards math. No fish-containing baby-food product row was promoted. Total mercury remains separate from methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fish-containing-baby-foods,tatsuta2024-methylmercury-intake-children-duplicate-diet,Dietary intake of methylmercury by 0-5 years children using the duplicate diet method in Japan,wiki/sources/tatsuta2024-methylmercury-intake-children-duplicate-diet.md,MeHg,context_only_duplicate_diet_exposure,context_only_not_published,exposure_context_not_product_occurrence,"Tatsuta 2024 measured total diet composites and dietary intake by age stage, not concentration rows for a fish-containing baby-food product category.",The source describes 24-hour duplicate diet samples collected over three days and reports THg/MeHg diet-sample concentrations and intake estimates by dietary stage.,"Useful for methylmercury exposure context in young children who consume fish, but not for product occurrence or standards math. No fish-containing baby-food product row was promoted. MeHg is retained as methylmercury exposure context and is not substituted for total mercury occurrence.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable fruit-puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Cd,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable fruit-puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tAs,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable fruit-puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Arsenic remains total/unspecified arsenic, not inorganic arsenic.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable fruit-puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,signes-pastor2018-infants-dietary-arsenic-solid-food,Infants' dietary arsenic exposure during transition to solid food,wiki/sources/signes-pastor2018-infants-dietary-arsenic-solid-food.md,iAs,context_only_biomarker_food_diary,context_only_not_published,biomarker_exposure_context_not_product_occurrence,"Signes-Pastor 2018 relates infant food-diary categories to urinary arsenic species; it does not report source-stated fruit-puree concentration rows.","The source reports a 3-day food diary and paired urine samples, then evaluates associations between solid-food intake and urinary arsenic species.",Useful exposure-context source for weaning and arsenic biomarkers. It should not be converted into fruit-puree total or inorganic arsenic occurrence values.,"No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
fruit-purees,signes-pastor2018-infants-dietary-arsenic-solid-food,Infants' dietary arsenic exposure during transition to solid food,wiki/sources/signes-pastor2018-infants-dietary-arsenic-solid-food.md,tAs,context_only_biomarker_food_diary,context_only_not_published,biomarker_exposure_context_not_product_occurrence,"Signes-Pastor 2018 relates infant food-diary categories to urinary arsenic species; it does not report source-stated fruit-puree concentration rows.","The source reports a 3-day food diary and paired urine samples, then evaluates associations between solid-food intake and urinary arsenic species.",Useful exposure-context source for weaning and arsenic biomarkers. It should not be converted into fruit-puree total or inorganic arsenic occurrence values.,"No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
meat-and-poultry-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable meat-and-poultry puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
meat-and-poultry-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Cd,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable meat-and-poultry puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
meat-and-poultry-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tAs,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable meat-and-poultry puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Arsenic remains total/unspecified arsenic, not inorganic arsenic.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
meat-and-poultry-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable meat-and-poultry puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
mixed-meals-non-rice,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_mixed_food_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some mixes of different foods medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
mixed-meals-non-rice,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tAs,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_mixed_food_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some mixes of different foods medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Arsenic remains total/unspecified arsenic, not inorganic arsenic.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
mixed-meals-non-rice,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_mixed_food_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some mixes of different foods medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
mixed-meals-rice-containing,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tHg,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_rice_product_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative provides some rice and rice mixes medians, but not for every declared metal in this route. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Mercury remains total mercury, not methylmercury.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
non-root-vegetable-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable non-root vegetable puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
non-root-vegetable-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Cd,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable non-root vegetable puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
non-root-vegetable-purees,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,tAs,context_only_no_routeable_review_median,context_only_not_published,broad_scoping_review_context_only,"Collado-Lopez 2025 is a secondary scoping review. For this product-metal route, the local packet does not provide a source-stated product-specific concentration row or percentile suitable for HMTc occurrence math.","Collado-Lopez 2025 reports selected detected-item medians/IQRs for broad baby-food groups, not sample-level rows for every locked HMTc product-metal route.","The review narrative does not provide a routeable non-root vegetable puree detected-item median for the locked product page. No candidate row was emitted for this product-metal route. The source remains visible through Collado EF-4 context rows where routeable medians exist and through this disposition where they do not. No p50, p90, or p95 was inferred. Arsenic remains total/unspecified arsenic, not inorganic arsenic.","No candidate value emitted for this product-metal route. Keep source visible through disposition/context; do not publish or infer p50/p90/p95."
