queue_order,priority,product_slug,product_standard_scope,source_id,source_title,route_status,route_kind,local_pdf_status,local_pdf_path,source_page_path,metals_declared,missing_metal_species,products_declared,evidence_use,action_needed,guardrails
1,P0-extract-direct-product-values,baby-cereals-dry-non-rice,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
2,P0-extract-direct-product-values,baby-cereals-dry-rice-based,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
3,P0-extract-direct-product-values,fish-containing-baby-foods,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
4,P0-extract-missing-product-values,fish-containing-baby-foods,locked_hmtc_row,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,partial_structured_values_present,direct_product_frontmatter,local_pdf_found,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,wiki/sources/meli2024-chemical-characterization-baby-food-italy.md,Al;tAs;Cd;tHg;Ni;Pb;Sn,Al;tAs;tHg;Ni;Sn,infant-formula-powder;fruit-purees;meat-and-poultry-purees;fish-containing-baby-foods;baby-cereals,partial_structured_value_candidate,Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: Al; tAs; tHg; Ni; Sn.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
5,P0-extract-direct-product-values,fish-containing-baby-foods,locked_hmtc_row,tatsuta2024-methylmercury-intake-children-duplicate-diet,Dietary intake of methylmercury by 0-5 years children using the duplicate diet method in Japan,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_11111292/FM_11111292.md,wiki/sources/tatsuta2024-methylmercury-intake-children-duplicate-diet.md,tHg;MeHg,tHg;MeHg,fish-containing-baby-foods;infant-formula;baby-foods;toddler-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total mercury separate from methylmercury"
6,P0-extract-direct-product-values,fruit-juice-not-canned,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/Digest/Added Manually /1-s2.0-S0889157518301868-am.pdf,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V,Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V,infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic"
7,P0-extract-direct-product-values,fruit-juice-not-canned,locked_hmtc_row,weldegebriel2025-ethiopia-packaged-fruit-juice-metals,"Toxic metal contamination and health risk assessment of packaged fruit juices for children in Gondar city, Ethiopia",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_12546707/FM_12546707.md,wiki/sources/weldegebriel2025-ethiopia-packaged-fruit-juice-metals.md,Cd;Pb;Cr;Ni,Cd;Pb;Cr;Ni,fruit-juice-not-canned;packaged-fruit-juice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication"
8,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,chekri2019-french-infant-toddler-tds-trace-elements,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/Digest/Added Manually /1-s2.0-S0889157518301868-am.pdf,wiki/sources/chekri2019-french-infant-toddler-tds-trace-elements.md,Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V,Al;Sb;tAs;Cd;Cr;Co;Ni;Sn;V,infant-formula;baby-cereals;fruit-purees;fruit-juice-not-canned;vegetable-purees;meat-and-fish-baby-foods;mixed-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic"
9,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
10,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,fsa2016-infant-food-formula-metals-survey,"Survey of metals in commercial infant foods, infant formula and non-infant specific foods",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/FS102048 Infants metal survey FSIS pdf version.pdf,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Al;Sb;tAs;iAs;Cd;Cr;Cu;I;Fe;Pb;Mn;tHg;Ni;Se;Sn;Zn,Al;Sb;tAs;iAs;Cd;Cr;Cu;I;Fe;Pb;Mn;tHg;Ni;Se;Sn;Zn,infant-formula-powder;infant-formula-rtf-liquid;baby-cereals;fruit-purees;vegetable-purees;baby-drinks;snacks;meat-and-fish-baby-foods;mixed-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
11,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,wiki/sources/meli2024-chemical-characterization-baby-food-italy.md,Al;tAs;Cd;tHg;Ni;Pb;Sn,Al;tAs;Cd;tHg;Ni;Pb;Sn,infant-formula-powder;fruit-purees;meat-and-poultry-purees;fish-containing-baby-foods;baby-cereals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
12,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,parker2022-baby-food-arsenic-cadmium-lead-mercury-risk,"Human health risk assessment of arsenic, cadmium, lead, and mercury ingestion from baby foods",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_8850323/FM_8850323.md,wiki/sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk.md,tAs;Cd;tHg;Pb,tAs;Cd;tHg;Pb,fruit-purees;root-vegetable-purees;non-root-vegetable-purees;baby-cereals;mixed-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
13,P0-extract-direct-product-values,fruit-purees,locked_hmtc_row,signes-pastor2018-infants-dietary-arsenic-solid-food,Infants' dietary arsenic exposure during transition to solid food,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_5940663/FM_5940663.md,wiki/sources/signes-pastor2018-infants-dietary-arsenic-solid-food.md,iAs;tAs,iAs;tAs,infant-formula-powder;rice-cereal;fruit-purees;vegetable-purees;mixed-cereals;rice-based-snacks,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic"
14,P0-extract-direct-product-values,meat-and-poultry-purees,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
15,P0-extract-missing-product-values,meat-and-poultry-purees,locked_hmtc_row,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,partial_structured_values_present,direct_product_frontmatter,local_pdf_found,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,wiki/sources/meli2024-chemical-characterization-baby-food-italy.md,Al;tAs;Cd;tHg;Ni;Pb;Sn,Al;tAs;tHg;Ni;Sn,infant-formula-powder;fruit-purees;meat-and-poultry-purees;fish-containing-baby-foods;baby-cereals,partial_structured_value_candidate,Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: Al; tAs; tHg; Ni; Sn.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
16,P0-extract-direct-product-values,mixed-meals-non-rice,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
17,P0-extract-direct-product-values,mixed-meals-rice-containing,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
18,P0-extract-direct-product-values,non-root-vegetable-purees,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
19,P0-extract-direct-product-values,non-root-vegetable-purees,locked_hmtc_row,parker2022-baby-food-arsenic-cadmium-lead-mercury-risk,"Human health risk assessment of arsenic, cadmium, lead, and mercury ingestion from baby foods",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_8850323/FM_8850323.md,wiki/sources/parker2022-baby-food-arsenic-cadmium-lead-mercury-risk.md,tAs;Cd;tHg;Pb,tAs;Cd;tHg;Pb,fruit-purees;root-vegetable-purees;non-root-vegetable-purees;baby-cereals;mixed-meals,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
20,P0-extract-missing-product-values,plant-milks-non-soy-non-rice,locked_hmtc_row,marques2021-trace-elements-milks-plant-based-drinks,Essential and Non-essential Trace Elements in Milks and Plant-Based Drinks,partial_structured_values_present,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan.md,wiki/sources/marques2021-trace-elements-milks-plant-based-drinks.md,Pb;tHg;Ni;U,Ni,plant-milks-soy-based;plant-milks-rice-based;plant-milks-non-soy-non-rice;infant-formula,partial_structured_value_candidate,Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: Ni.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total mercury separate from methylmercury"
21,P0-extract-direct-product-values,plant-milks-rice-based,locked_hmtc_row,marques2021-trace-elements-milks-plant-based-drinks,Essential and Non-essential Trace Elements in Milks and Plant-Based Drinks,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan.md,wiki/sources/marques2021-trace-elements-milks-plant-based-drinks.md,Pb;tHg;Ni;U,Pb;tHg;Ni;U,plant-milks-soy-based;plant-milks-rice-based;plant-milks-non-soy-non-rice;infant-formula,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total mercury separate from methylmercury"
