hmi_page,routed_gems_food_row,arsenic_species,who_region,n,p50_ug_kg,p95_ug_kg,max_ug_kg,route_note
metals/arsenic-inorganic,Rice,iAs,EURO,2341,87.01,191,570,Core ingredient evidence; rice row maps to [[ingredients/rice]].
metals/arsenic-inorganic,Rice,iAs,WPRO,1561,130,290,590,Confirms higher-region rice context without assigning country-level origin.
metals/arsenic-inorganic,"Rice, husked",iAs,WPRO,1521,150,270,600,Supports brown/husked-rice processing distinction.
metals/arsenic-inorganic,Cereal-based food for infants and young children,iAs,PAHO,674,43.55,84,189,Routes to [[products/baby-cereals-dry-rice-based]] as global product-context evidence.
metals/arsenic-inorganic,Algae,iAs,WPRO,910,107.5,815,54200,Requires separate algae/seaweed node because total arsenic and iAs fractions differ sharply.
metals/arsenic-inorganic,Fruit juice,iAs,PAHO,619,1.25,8.664,55.5,Routes to [[ingredients/fruit-juice]] and fruit-juice product rows as context.
metals/arsenic-inorganic,Bottled water,iAs,PAHO,444,0.14,1.35,5,Water-row context; most larger water rows report total arsenic.
metals/arsenic-total,Tap water,tAs,EURO,14098,0,6,470,Large water monitoring row; maps to [[ingredients/water]].
metals/arsenic-total,Bottled water,tAs,EURO,6847,0,4,2590,"Bottled-water context, not a brand claim."
metals/arsenic-total,Marine fishes,tAs,EURO,3173,3200,33000,170000,Routes to [[ingredients/fish]] and [[ingredients/seafood]]; not a proxy for iAs toxicity.
metals/arsenic-total,Rice,tAs,EURO,3282,120,298,18000,Routes to [[ingredients/rice]] with iAs rows shown separately.
metals/arsenic-total,Dietary supplements,tAs,EURO,2302,0,7098,69700,Evidence flagged for a future supplement-routing page; not promoted to food-product claims.
metals/arsenic-total,Algae,tAs,EURO,866,9410,56075,140280,Supports dedicated [[ingredients/algae-seaweed]] routing.
ingredients/rice,Rice,iAs,EURO,2341,87.01,191,570,Broad rice row.
ingredients/rice,Rice,iAs,WPRO,1561,130,290,590,Broad rice row.
ingredients/rice,"Rice, husked",iAs,WPRO,1521,150,270,600,Husked/brown-rice adjacent row.
ingredients/rice,"Rice, polished",iAs,WPRO,1045,90,150,260,Polished-rice row.
ingredients/rice,Rice,tAs,EURO,3282,120,298,18000,Total arsenic row; not interchangeable with iAs.
ingredients/rice,Rice,DMA,EURO,149,6.73,81.88,486,Organic arsenic species context.
ingredients/rice,Rice,MMA,EURO,80,0,0.4197,0.638,Organic arsenic species context.
products/baby-cereals-dry-rice-based,Cereal-based food for infants and young children,iAs,PAHO,674,43.55,84,189,Strongest product-row fit for rice-based dry cereal context.
products/baby-cereals-dry-rice-based,Cereal-based food for infants and young children,iAs,EURO,532,36.61,120,296,Product-row context; not rice-only without sub-ingredient detail.
products/baby-cereals-dry-rice-based,Cereal-based food for infants and young children,tAs,EURO,1215,4.4,150,4000,Total arsenic; speciation not assumed.
products/baby-cereals-dry-rice-based,Cereal-based food for infants and young children,organic As,PAHO,689,22.6,162.9,270.4,Organic arsenic context.
products/baby-cereals-dry-rice-based,Ready-to-eat meal for infants and young children,iAs,EURO,212,0,31.45,121.3,Adjacent mixed-meal context; use outside dry cereal calculations.
products/mixed-meals-rice-containing,Rice-based meals,DMA,EURO,48,7.701,18.67,24.69,Rice-based meal species row.
products/mixed-meals-rice-containing,Rice-based meals,MMA,EURO,48,0.2755,0.5166,0.694,Rice-based meal species row.
products/mixed-meals-rice-containing,Ready-to-eat meal for infants and young children,tAs,EURO,1356,0,100,2347,Infant/young-child meal context.
products/mixed-meals-rice-containing,Ready-to-eat meal for infants and young children,iAs,EURO,212,0,31.45,121.3,Infant/young-child meal context.
products/mixed-meals-rice-containing,Ready-to-eat meal for infants and young children,iAs,PAHO,125,1.39,6.33,33.81,Infant/young-child meal context.
ingredients/fish,Marine fishes,tAs,EURO,3173,3200,33000,170000,"Total arsenic, not iAs."
ingredients/fish,Cod,tAs,EURO,2695,3000,15000,78534,Species row; total arsenic.
ingredients/fish,Fishes,tAs,EURO,2176,1000,8605,77500,Broad fish row.
ingredients/fish,Fresh water fishes,tAs,PAHO,1670,0,102,604,Freshwater fish context.
ingredients/fish,Cod,iAs,EURO,320,0,3.1,71.72,Speciated inorganic arsenic row.
ingredients/fish,Tuna,iAs,EURO,123,0,17.9,1939,Review outliers before species claims.
ingredients/seafood,"Fish, sea food, amphibian reptile snail or insect NES",tAs,EURO,1596,1800,15000,68000,Broad seafood row.
ingredients/seafood,"Fish, sea food, amphibian reptile snail or insect NES",tAs,EURO,858,4300,14000,150000,Broad seafood row.
ingredients/seafood,"Fish, sea food, amphibian reptile snail or insect NES",iAs,EURO,153,0,28,430,Speciated iAs context.
ingredients/seafood,"Molluscs, including cephalopods",iAs,EURO,112,16,91.75,200,Mollusc/cephalopod review row.
ingredients/seafood,Crabs,organic As,PAHO,22,8351,18380,23532,Organic arsenic context; not iAs.
ingredients/seafood,Lobsters,organic As,PAHO,35,5208,9183,10443,Organic arsenic context; not iAs.
ingredients/bivalve-molluscs,Mussels,iAs,EURO,434,11,106.7,1500,Bivalve iAs context.
ingredients/bivalve-molluscs,Mussels,iAs,EURO,283,19,138.7,1300,Bivalve iAs context.
ingredients/bivalve-molluscs,Mussels,tAs,EURO,824,2060,3985,39700,Total arsenic; not iAs.
ingredients/bivalve-molluscs,Clams,iAs,EURO,83,40,180,420,Bivalve iAs context.
ingredients/bivalve-molluscs,Oysters,iAs,EURO,94,4.95,65.45,266,Future oysters page candidate.
ingredients/fruit-juice,Fruit juice,iAs,PAHO,619,1.25,8.664,55.5,Best-fit speciated juice row.
ingredients/fruit-juice,Fruit juice,tAs,EURO,1358,0,13,382,Total arsenic; not speciated.
ingredients/fruit-juice,Fruit juice,tAs,EURO,1323,0,3.506,100,Total arsenic; not speciated.
ingredients/fruit-juice,Grape juice,iAs,PAHO,86,9.045,29.53,52.14,Grape-specific row.
ingredients/fruit-juice,Fruit juice and herbal tea for infants and young children,iAs,WPRO,10,1.5,9.3,12,Infant/young-child adjacent row; small N.
ingredients/water,Tap water,tAs,EURO,14098,0,6,470,Large tap-water monitoring row.
ingredients/water,Drinking water NES,tAs,EURO,8010,0,7.21,346,General drinking-water row.
ingredients/water,Bottled water,tAs,EURO,6847,0,4,2590,Bottled-water row; review outliers before claims.
ingredients/water,Drinking water NES,tAs,EURO,5028,1,17,8800,General drinking-water row.
ingredients/water,Bottled water,iAs,PAHO,444,0.14,1.35,5,Speciated bottled-water row.
ingredients/vegetables,Vegetables and vegetable products NES,iAs,EURO,401,12,470,43000,Broad vegetable row; needs subclass routing.
ingredients/vegetables,Vegetables and vegetable products NES,iAs,WPRO,280,0,390.6,71700,Broad vegetable row; needs subclass routing.
ingredients/vegetables,Potato,tAs,EURO,1016,0,6.44,287,Routes to [[ingredients/potatoes]]/root vegetables.
ingredients/vegetables,Carrot,tAs,EURO,641,0,21,90,Routes to [[ingredients/carrots]]/root vegetables.
ingredients/vegetables,Leafy vegetables,tAs,EURO,623,0,61.8,79000,Routes to [[ingredients/leafy-greens]]; review outliers.
ingredients/vegetables,Mushrooms,tAs,EURO,821,0,419,19200,Routes to [[ingredients/wild-mushrooms]]/mushrooms.
ingredients/root-vegetables,Potato,tAs,EURO,1016,0,6.44,287,Root-vegetable context.
ingredients/root-vegetables,Potato,tAs,EURO,794,0,8.675,270,Root-vegetable context.
ingredients/root-vegetables,Carrot,tAs,EURO,641,0,21,90,Root-vegetable context.
ingredients/root-vegetables,Carrot,tAs,European Union,586,0,21,90,EU-overlap row retained as monitoring context.
ingredients/leafy-greens,Leafy vegetables,tAs,EURO,623,0,61.8,79000,Review high-end values before ingredient-specific claims.
ingredients/leafy-greens,Leafy vegetables,tAs,EURO,542,0,64.8,844,Broad leafy-vegetable context.
ingredients/leafy-greens,Leafy vegetables,tAs,European Union,532,0,57.8,844,EU-overlap row retained as context.
ingredients/leafy-greens,Spinach (bunch),organic As,EURO,1,0.63,0.63,0.63,Too small for spinach inference.
ingredients/wild-mushrooms,Mushrooms,tAs,EURO,821,0,419,19200,Mushroom context.
ingredients/wild-mushrooms,"Fungi, edible (not including mushrooms)",tAs,EURO,707,9,327.6,108700,Wild/other fungi candidate.
ingredients/wild-mushrooms,Mushrooms,tAs,EURO,489,15.8,1316,12700,Mushroom context.
ingredients/wild-mushrooms,"Fungi, edible (not including mushrooms)",iAs,EURO,95,0,184.8,820,Speciated fungi context.
ingredients/wild-mushrooms,Mushrooms,iAs,EURO,71,23.55,616.1,3300,Speciated mushroom context.
